Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI533954,SC,2013,1,61,100,1030,16.3,19.6,5.02,21,4159,2.38,43.18,44.2,1717,15.32,11.37,7.74,11.97,0.397,6.2,15.04,68.1,21.06
PI533955,SC,2013,1,64,102,1973,19.1,38.3,6.67,15.3,4112,2.79,42.26,46.2,1333,12.76,10.31,13.55,8.37,0.317,3.93,10.41,68.3,15.46
PI533956,SC,2013,1,62,157,1019,10.8,12.6,6.84,18.6,4261,4.25,54.25,47,1966,15.87,10.44,10.63,11.48,0.413,5.41,13.9,63.6,22.71
PI533957,SC,2013,1,61,95,1603,19.8,33.1,7.31,12.7,4083,2.23,43.12,50.3,1344,13.58,10.78,10.87,8.64,0.318,4.18,10.52,69.9,18.03
PI533961,SC,2013,1,64,95,1152,19,23.7,6.3,18.7,4085,2.61,37.98,47.6,1345,13.35,11,9.63,8.65,0.319,4.38,10.43,68.8,17.61
PI533962,SC,2013,1,68,160,847,22.2,22.1,6.23,17.3,4078,2.23,44.27,45.3,1365,13.83,10.94,10.2,9.49,0.336,5.03,11.76,68.7,17.58
PI533964,SC,2013,1,68,111,1642,24.2,43.2,5.19,15.4,4147,3.23,58.11,50.1,1691,15.67,10.59,7.56,10.52,0.375,4.96,13,67.1,21.06
PI533965,SC,2013,1,68,117,796,21.5,19.7,6.42,17.7,4129,2.59,46.04,44.9,1627,15.38,11.17,8.55,10.57,0.385,5.58,13.12,65.3,20.44
PI533967,SC,2013,1,71,95,1038,23.7,27,5.28,15.8,4116,2.99,38.57,46.7,1515,14.37,10.91,8.12,9.58,0.349,4.91,11.76,69.3,19.1
PI533970,SC,2013,1,66,112,2072,22.9,49.4,6.03,14.3,4081,2.23,34.52,44.2,1481,12.73,10.95,10.61,8.46,0.34,4.77,10.61,70,15.58
PI533972,SC,2013,1,NA,130,1128,22.4,25,6.32,16.6,4066,2.2,35.33,48.1,1383,13.19,11.43,8.5,8.16,0.327,4.52,9.99,69.8,17.41
PI533976,SC,2013,1,68,100,1385,24.8,34.2,5.77,14.2,4191,3.89,43.02,44.4,1591,13.34,10.44,11.93,8.98,0.347,4.63,11.16,68.2,17.09
PI533979,SC,2013,1,62,154,1132,20.5,24.2,6.28,16.2,4161,2.78,60.08,53.5,1732,16.58,9.92,11.1,11.87,0.384,4.94,14.77,65.2,23.4
PI533980,SC,2013,1,69,84,1020,21.7,22.6,5.57,14.5,4159,2.83,57.53,51.9,1751,15.72,10.29,9.73,10.99,0.375,4.84,13.43,67.4,22.03
PI533985,SC,2013,1,68,106,1148,28.3,31.8,5.62,17.9,4139,3.31,37.12,45.4,1487,12.99,10.98,10.53,8.69,0.33,4.86,10.65,69.7,16.99
PI533986,SC,2013,1,68,97,1693,27.9,41.6,6.42,17.6,4173,3.16,50.24,48.3,1671,15.9,10.74,8.42,11.05,0.384,5.2,13.63,65.4,21.09
PI533987,SC,2013,1,61,123,1960,39.9,82.8,5.89,19.6,4043,1.75,39.48,51.7,1425,12.71,10.96,8.31,8.68,0.333,4.19,10.7,69.1,17.78
PI533989,SC,2013,1,69,128,2078,17.7,38.1,5.07,15.9,4032,2.17,36.19,52.3,1483,13.61,10.6,9.61,8.23,0.342,4.07,10.13,65.5,17.69
PI533991,SC,2013,1,61,159,642,13.8,11.3,5.58,15.9,4146,2.56,53.17,50.8,1706,16.86,10.9,7.92,12.21,0.389,5.52,15.04,66.7,22.87
PI533996,SC,2013,1,62,118,1089,25.6,26.2,6.3,15.3,4142,2.91,38.75,49.5,1583,14.45,10.64,9.37,10.22,0.351,4.76,12.5,69.7,18.82
PI533997,SC,2013,1,57,156,1533,27.4,42.6,4.84,17.6,4105,2.48,30.72,45.3,1501,12.85,11.1,9.47,9.38,0.345,4.99,11.95,71.3,16.14
PI534009,SC,2013,1,NA,119,1081,21,23.3,5.47,17.1,4096,2.36,37.35,45.5,1489,13.69,11.34,8.92,9.59,0.339,5.15,11.52,70.1,17.87
PI534021,SC,2013,1,78,100,1475,17.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534028,SC,2013,1,75,117,2325,23.1,54.5,5.2,15.8,4163,3.57,38.65,46.9,1631,14.44,10.86,7.74,9.86,0.37,5.02,12.43,68.8,19.83
PI534037,SC,2013,1,69,136,838,18.2,16.3,6.22,19.3,4103,2.99,38.77,47.6,1461,13.59,10.94,9.11,8.61,0.338,4.41,10.46,69.3,17.9
PI534046,SC,2013,1,57,93,1042,16.8,17.6,6.71,21.1,4152,2.67,45.95,45.2,1654,13.63,10.68,11.62,10.11,0.372,5.01,12.37,67.4,17.2
PI534047,SC,2013,1,52,138,677,36,25.7,7.14,16.2,4189,3.08,58.58,49.1,1588,14.79,9.94,13.58,10.97,0.354,4.71,13.45,64.3,19.9
PI534053,SC,2013,1,69,93,1851,23.1,45.9,5.43,13.6,4066,2.62,35.45,50,1398,13.67,10.78,8.6,8.33,0.323,4.2,10.24,71.3,17.18
PI534054,SC,2013,1,69,102,1577,13.3,22,5.4,10.2,4119,2.57,45.12,52.4,1664,15.3,10.42,9.35,10.07,0.366,4.62,12.52,68,20.91
PI534063,SC,2013,1,NA,179,106,35.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534070,SC,2013,1,61,141,607,24.6,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534075,SC,2013,1,61,189,NA,NA,NA,5.7,12.8,4065,2.46,44.01,54.8,1650,17.18,10.92,7.12,9.07,0.373,4.35,11.36,66.3,25.38
PI534079,SC,2013,1,54,142,1103,28,30.7,5.54,16.9,4038,1.95,32.59,45.7,1350,13.07,11.19,9.48,8.54,0.326,4.8,10.71,70.9,16.43
PI534088,SC,2013,1,53,111,866,30,27.1,4.98,18.3,4129,2.63,57.25,53.1,1605,14.26,10.08,11.54,10.11,0.339,4.19,12.08,67.2,20.27
PI534092,SC,2013,1,69,103,911,22.9,21.5,5.51,15.7,4101,2.05,51,51.8,1638,16.15,10.81,8.4,11.34,0.369,5.17,13.85,68.3,22.71
PI534096,SC,2013,1,55,140,895,15.7,15.8,5.19,14.1,4184,3.08,51.21,47.9,1758,17.13,11.06,6.9,12.81,0.408,6.28,15.84,66.2,24.88
PI534097,SC,2013,1,64,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534099,SC,2013,1,64,110,2385,16.3,39.2,5.53,13.3,4032,1.96,37.6,52.8,1347,13.49,10.98,7.99,8.48,0.316,4.33,10.45,71.4,19.41
PI534101,SC,2013,1,69,120,1043,25.8,30.3,5.78,17.1,4105,3.02,40.02,48.9,1448,13.8,10.89,9.07,8.65,0.332,4.42,10.57,69.7,18.33
PI534105,SC,2013,1,66,80,1303,15.3,23.1,7.36,16.8,4096,1.65,46.81,53.1,1429,13.75,10.27,11.86,10.66,0.345,4.27,13.44,66.7,18.79
PI534108,SC,2013,1,66,184,2980,18.4,56.7,6.19,18.4,4104,2.53,44.56,47.2,1480,14.48,11.02,9.58,9.77,0.348,5.03,11.82,66.9,19.44
PI534112,SC,2013,1,75,95,2038,20,41.8,6.74,19.7,4056,1.8,36.08,48,1389,13.72,11.4,8.99,8.95,0.322,4.67,10.82,69,17.75
PI534114,SC,2013,1,69,117,1448,10.8,16.8,9.14,16.9,4190,2.47,56.63,48.9,1783,16.05,10.78,10.77,12.31,0.399,5.68,15.19,64.3,23.07
PI534115,SC,2013,1,68,97,1984,25.9,49.5,5.18,12.4,4087,2.4,47.58,51.7,1480,15.51,10.57,8.99,10.14,0.338,4.68,12.38,69.6,20.1
PI534116,SC,2013,1,66,148,1196,17,21.2,7.06,17.4,4226,3.58,64.97,45.5,1912,14.71,10.4,10,11.23,0.421,5.4,14.11,66.2,21.85
PI534117,SC,2013,1,64,128,1331,16.2,21.8,6.06,18,4176,3.46,44.76,42.2,1608,13.66,10.97,10.73,9.13,0.364,5.26,11.35,66.5,17.94
PI534123,SC,2013,1,71,142,1104,16.8,19.3,8.11,17.6,4179,2.87,54.49,46.7,1697,15.44,10.63,11.33,11.21,0.38,5.36,13.8,65,21.19
