Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI534101,SC,2014,2,89,91,1801,30.4,94.8,6.14,12.34,4158,2.92,44.63,44.64,1479.8,14.55,10.41,11.53,10.42,0.35,5.32,13.04,68.74,18.38
PI534105,SC,2014,2,82,66,1065,29,53.4,5.68,17.05,4067.2,1.92,32.67,43.36,1382.2,13.66,11.38,8.85,9.17,0.33,5.27,11.59,71.78,16.91
PI534108,SC,2014,2,79,105,1525,25.8,68,5.45,13.29,4092,2.26,39.11,42.38,1357.4,13.39,11.01,11.06,9.09,0.32,5.3,11.2,70.23,16.39
PI534112,SC,2014,2,89,89,2332,24.7,99.5,7.12,13.16,4126.6,2.41,43.63,45.96,1391.5,14.2,10.67,11.35,9.94,0.33,4.86,12.26,68.16,18.02
PI534114,SC,2014,2,84,101,1720,20.6,61.3,6.65,16.79,4151.7,2.55,44.69,40.62,1534.8,14.32,10.84,11.98,10.3,0.36,5.82,12.92,67.8,17.97
PI534115,SC,2014,2,77,95,2433,29.6,124.6,4.79,9.98,4096.8,2.31,43.53,44.01,1397.9,14.81,10.77,10.48,10.11,0.34,5.46,12.68,69.29,19.2
PI534116,SC,2014,2,75,107,1028,17.2,30.5,6.76,14.04,4189.3,3.21,54.22,42.91,1581.6,15.61,10.55,10.52,10.82,0.37,5.69,13.5,67.18,21.29
PI534117,SC,2014,2,71,82,1587,20,54.7,5.95,16.24,4113.5,2.39,38.72,38.6,1537.8,13.07,11.46,10.54,8.97,0.36,5.96,11.07,70.81,16.15
PI534123,SC,2014,2,75,102,176,10.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534124,SC,2014,2,84,147,1556,15.4,41.5,8.46,12.55,4224.3,3.18,63.41,48.09,1810.3,15.32,10.28,11.44,12.02,0.41,5.44,14.8,63.29,22.82
PI534127,SC,2014,2,82,119,1174,17.1,34.7,7.29,14.41,4177.3,2.62,47.05,45.77,1565.6,14.93,10.75,10.67,11.12,0.37,5.31,13.95,65.84,19.65
PI534128,SC,2014,2,NA,93,909,27,42.4,5.38,11.64,4138.8,2.51,40.83,44.46,1546.5,15.05,11.07,8.38,10.9,0.37,5.6,13.68,69.26,19.69
PI534132,SC,2014,2,82,82,1661,20.3,58.3,5.11,9.28,4114.8,2.94,55.87,49.89,1548.9,15.98,10.72,6.93,10.66,0.37,5.42,12.9,68.02,22.54
PI534133,SC,2014,2,89,119,1907,21.8,72,5.59,11.38,4185.9,3.41,54.81,49.93,1690.7,15.75,10.1,10.95,10.89,0.36,4.77,13.15,66.77,21.75
PI534135,SC,2014,2,96,95,1482,30.1,77,5.26,8.87,4172.9,3.47,59.24,50.36,1642.5,15.85,9.96,9.29,10.82,0.37,5.04,13.34,67.61,21.95
PI534137,SC,2014,2,86,109,1620,22.8,63.9,4.65,11.74,4078.3,2.72,50.65,50.51,1429.5,15.25,11.05,6.05,9.73,0.34,4.98,11.74,71.15,22
PI534138,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534139,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534144,SC,2014,2,84,166,1470,16.8,42.8,9.14,14.79,4197.2,3.09,55.7,42.29,1710.1,15.1,10.62,12.77,10.62,0.4,5.83,13.29,62.36,19.24
PI534145,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534148,SC,2014,2,79,116,959,29.1,48.3,6.51,5.07,4175.7,2.92,57.37,52.11,1663.4,17.87,10.24,9.45,12,0.38,5.33,14.84,67.84,25.73
PI534155,SC,2014,2,79,93,1283,21.3,47.3,8.09,14.38,4205.5,2.6,58.83,46.8,1700.8,16.03,10.74,11.7,12.22,0.38,5.86,14.86,63.49,22.07
PI534157,SC,2014,2,91,97,1608,25.5,70.8,4.38,8.44,4088.9,2.55,44.8,46.51,1296.2,14.53,10.42,10.05,9.31,0.33,4.92,11.6,71.79,17.86
PI534163,SC,2014,2,84,99,1550,19.2,51.6,7.47,9.53,4165.6,3.16,59.17,48.04,1557.1,15.34,10.37,9.88,10.63,0.37,5.2,13.07,65.09,21.2
PI534167,SC,2014,2,82,82,1008,23.4,40.7,5.24,10.37,4168.1,3.22,43.9,43.3,1533.4,13.86,10.79,11.4,9.57,0.35,5.17,11.99,67.19,17.82
PI540816,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI542406,SC,2014,2,103,177,2206,8.7,33.2,9.18,13.38,4241.9,3.44,58.5,45.9,1740.4,15.52,10.23,13.41,11.99,0.4,5.5,14.54,60.76,21.12
PI542718,SC,2014,2,75,135,2133,28.1,103.6,5.34,14.1,4161.4,3.09,43.75,40.54,1549.4,12.94,10.11,13.34,9.11,0.36,4.97,11.64,68.9,15.27
PI548797,SC,2014,2,93,98,2118,25.4,93,5.55,14.13,4143,2.89,49.07,48.06,1537.6,15.58,10.36,9.34,10.58,0.36,5.06,12.95,69.98,19.74
PI552856,SC,2014,2,77,122,1932,25.9,86.3,4.82,8.38,4101.7,2.51,37.63,44.4,1378,13.53,10.1,12.26,8.98,0.33,4.64,11.58,70.43,16.37
PI552861,SC,2014,2,89,111,2063,21.9,78.1,4.44,10.08,4060.4,2.51,45.44,49.46,1346,13.8,10.38,8.32,8.45,0.32,4.3,10.56,72.33,17.08
PI561071,SC,2014,2,82,110,3080,22.8,121.4,4.71,11.88,4056.4,2.51,36.18,50.3,1256.9,14.02,10.72,8.55,8.63,0.31,4.12,10.57,72.7,18.18
PI561072,SC,2014,2,82,103,1944,18.9,63.6,5.25,-2.27,4156.8,3.26,49,50.58,1650.7,17.05,10.38,7.49,10.43,0.38,5.17,13.19,67.58,24.43
PI561073,SC,2014,2,89,132,1697,23.8,69.9,5.32,8.73,4101.7,2.55,43.73,47.79,1429.6,15.32,10.28,10.44,9.99,0.35,4.98,12.39,68.26,19.11
PI561472,SC,2014,2,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI562730,SC,2014,2,PS,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI564163,SC,2014,2,84,123,1859,26.9,86.3,3.99,13.27,4094.4,2.69,37.45,44.64,1417.9,13.24,10.09,12.44,8.93,0.33,4.68,11.07,71.7,15.89
PI564164,SC,2014,2,91,NA,1990,22,75.5,5.15,8.53,4101.6,2.5,54.44,50.98,1505.9,15.53,10.53,7.75,10.53,0.36,5.12,12.8,68.29,22.15
PI564165,SC,2014,2,86,114,1196,27.7,57.4,5.1,12.13,4104.8,2.41,52.55,50.18,1399.3,16.13,10.8,9.12,10.89,0.34,5.1,13.35,67.99,21.42
PI565121,SC,2014,2,82,117,2502,26.9,116.2,5.32,10.03,4017,1.54,54.61,50.84,1218.5,14.1,10.88,8.37,9.28,0.31,4.55,11.14,70.6,18.66
PI566819,SC,2014,2,103,303,2427,15.5,64.9,7.79,14.84,4199.8,3.2,66.27,45.83,1648.3,14.53,10.27,12.61,11.1,0.38,5.02,13.52,64.5,20.19
PI574455,SC,2014,2,84,102,1537,14.8,39.2,5.63,11.07,4170.1,2.92,49.78,46.69,1551.7,16.51,10.48,9.49,11.96,0.37,5.79,14.67,68,22.46
PI576130,SC,2014,2,96,219,3708,22.2,142,5.25,14.28,4064.7,2.34,42.96,47.73,1395.3,14.19,11.08,7.07,8.98,0.34,4.54,11.11,70.23,18.44
PI576332,SC,2014,2,71,75,951,15.4,25.3,6.45,16.55,4163.8,2.78,48.69,41.84,1543.3,14.26,10.71,11.84,10.53,0.36,5.71,13.12,67.46,18.15
PI576333,SC,2014,2,71,97,1670,19.2,55.5,3.88,9.88,4071.5,2.77,33.29,45.24,1277.1,12.61,10.61,10.99,7.56,0.3,4.18,9.5,72.58,15.26
PI576337,SC,2014,2,75,110,868,13.9,20.8,8.21,15.99,4263.3,3.54,61.3,45.94,1869.2,16.31,10.09,12.2,12.82,0.41,5.82,15.46,63.93,22.72
PI576339,SC,2014,2,71,96,450,22.4,17.4,5,11.1,4145.8,2.88,50.2,51.47,1551.3,16.78,10.46,8.95,11.56,0.35,5.16,14.07,69.6,22.86
PI576340,SC,2014,2,84,119,1930,29.6,98.8,5.47,9.62,4095.1,2.56,39.49,46.98,1341.9,14.04,10.68,9.32,9.26,0.33,4.66,11.67,71.07,18.31
PI576345,SC,2014,2,77,102,1609,30.7,85.5,6.17,15.68,4131.4,2.55,37.64,44.12,1489.3,13.19,11.01,10.84,9.47,0.34,5.12,11.8,70.84,16.91
PI576347,SC,2014,2,75,132,1058,15.7,28.7,6.17,13.92,4189.7,3.88,46.14,44.9,1588,14.86,10.5,10.02,9.83,0.35,5.26,11.92,68.22,20.1
PI576348,SC,2014,2,75,182,716,20.2,24.9,5.82,15.4,4266.2,4.2,55.37,41.49,1788.2,15.31,10.24,11.61,11.22,0.39,5.89,13.96,66.99,20.57
PI576349,SC,2014,2,75,153,320,22.3,12.3,7.05,19.64,4264.9,3.56,55.03,42.48,1880.9,15.01,10.13,13.03,11.57,0.41,5.8,14.39,64.01,19.89
PI576350,SC,2014,2,64,115,540,22,20.5,6.27,14,4179.7,3.39,45.43,45.88,1482,13.52,10.53,12.79,9.24,0.33,4.62,11.12,69.89,17.58
PI576352,SC,2014,2,71,97,2061,23.9,85.1,6.87,14.57,4188,2.89,48.62,44.36,1697.2,16.28,11.22,7.87,11.68,0.39,6.04,14.56,67.34,22.41
PI576359,SC,2014,2,86,152,1398,16.1,39,4.64,12.53,4208.2,3.83,44.85,46.6,1636.8,15.05,10.23,10.35,10.6,0.37,5.16,13.28,68.95,20.07
PI576364,SC,2014,2,75,95,1988,13,44.6,6.74,17.36,4102,2.31,43.11,39.16,1477.1,12.9,11.28,11.72,8.72,0.35,5.59,10.72,68.98,15.95
PI576366,SC,2014,2,71,76,1588,9.8,26.9,9.38,14.09,4199.3,2.35,66,51.24,1756.2,17.55,10.71,11.37,13.1,0.39,5.77,15.79,62.83,25.48
PI576373,SC,2014,2,75,78,1745,20.7,62.5,5.45,15.79,4100.3,2.23,41.09,45.25,1440.3,14.37,11.01,9.57,10.17,0.35,5.52,12.62,70.43,18.86
PI576375,SC,2014,2,77,105,1815,30.7,96.3,4.86,10.24,4090.5,2.16,31.06,45.54,1372.1,12.74,10.64,11.77,9.18,0.32,4.78,11.65,70.68,14.98
PI576376,SC,2014,2,71,87,1452,28.5,71.5,4.06,11.45,4137.4,2.8,40.27,43.7,1627.2,15.46,11.18,7.11,10.78,0.38,5.99,13.39,69.41,20.21
PI576380,SC,2014,2,84,117,1217,38.8,81.5,5.71,11.29,4110.8,2.17,46.71,47.72,1409.1,16.22,10.6,9.29,11.38,0.35,5.5,14.14,69.24,20.96
PI576381,SC,2014,2,77,91,1627,20.6,57.9,5.33,14.37,4158.1,2.47,37.05,44.19,1565.2,13.79,11.15,10.17,10.43,0.35,5.18,12.7,70.34,17.13
PI576385,SC,2014,2,68,87,592,26.4,27,5.57,11.61,4115.1,2.6,52.38,50.99,1380.7,15.47,10.46,10.17,10.42,0.32,4.9,12.7,68.88,20.45
PI576386,SC,2014,2,98,83,926,26.6,42.7,6.26,11.97,4164.7,3.09,43.87,44.64,1477,13.94,10.36,12.46,9.63,0.34,4.81,11.83,67.72,17.87
PI576387,SC,2014,2,75,64,1823,23.7,74.7,4.49,14.31,4144.9,2.53,40.44,40.99,1651.1,14.45,10.68,10.57,10.78,0.38,5.96,13.67,69.95,16.99
PI576390,SC,2014,2,93,109,2269,24.6,96.5,7.11,8.96,4072.3,2.13,51.81,52.17,1336.3,15.29,10.41,10.8,10.09,0.33,4.8,12.37,67.3,22.15
PI576391,SC,2014,2,79,153,1839,15.9,50.6,5.16,11.08,4135.8,3.17,43.39,49.35,1382.8,12.99,10.01,12.67,8.51,0.31,3.82,10.3,70.6,16.03
PI576393,SC,2014,2,75,81,1423,18.5,45.4,6.17,14,4117.1,2.49,42.4,40.56,1428,13.57,10.96,11.84,9.37,0.34,5.67,11.65,69.54,17.07
PI576394,SC,2014,2,79,103,804,18.9,26.2,5.93,13.78,4213.4,3.33,47.82,47.64,1684.6,16.38,10.67,8.96,12.39,0.38,5.78,15.37,67.04,22.85
PI576396,SC,2014,2,77,88,1188,16.1,33,6.95,12.8,4156.1,2.42,49.01,43.41,1516.6,14.64,10.82,11.96,10.71,0.36,5.63,13.23,65.84,18.8
PI576399,SC,2014,2,71,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI576401,SC,2014,2,89,103,1255,29.9,65,5.86,11.15,4168.8,2.92,65.83,49.93,1791.1,16.97,10.28,7.65,12.06,0.4,5.74,14.78,67.26,24.68
PI576418,SC,2014,2,82,154,1524,32.5,85.6,4.24,13.44,4084.2,2.09,36.21,42.66,1480.1,13.51,11.19,9.3,9.67,0.35,5.58,12.05,71.64,16.64
PI576422,SC,2014,2,77,90,1108,26.3,50.3,4.15,12.11,4071.1,2.07,41.28,42.78,1422.1,14.51,10.94,9.31,10,0.35,5.65,12.72,70.86,18.17
PI576425,SC,2014,2,71,104,2205,17.8,67.8,8.64,15.41,4151.5,2.1,55.13,43.09,1543.8,14.05,11.05,13.6,10.45,0.35,5.66,12.6,65.49,18.44
PI576426,SC,2014,2,82,112,1494,22.7,58.6,6.27,10.33,4100.6,2.13,44.05,52.26,1594.9,14.97,10.48,9.87,9.91,0.35,4.66,12.33,68.34,21.3
PI576428,SC,2014,2,84,100,1111,22.7,43.6,6.46,16.3,4160.5,2.42,50.21,48.51,1651,16.38,11.11,8.13,12.6,0.37,5.71,15.08,67.23,22.98
PI576434,SC,2014,2,107,163,1943,26.8,90,4.84,11.48,4066.7,1.95,57.44,51.25,1322.8,15.52,10.71,9.05,10.36,0.32,4.77,12.65,69.76,20.58
PI576435,SC,2014,2,93,103,2653,19.4,89,5.09,13.45,4117.9,2.87,39.61,46.95,1475.8,14.65,10.68,8.93,10.02,0.34,5.11,12.25,70.27,19.81
PI576437,SC,2014,2,71,NA,1681,17.8,51.6,4.43,10.57,4101.1,3.08,51.21,49.62,1399.2,15.29,10.78,6.87,9.61,0.33,5.01,11.52,70.24,21.58
PI585291,SC,2014,2,79,112,1815,22,69,4.78,3.6,4105.1,2.8,43.88,52.67,1515,16.38,10.38,9.07,8.99,0.35,4.32,11.23,69.07,22.96
PI585295,SC,2014,2,91,99,1522,24.4,64.3,6.58,0.02,4173.9,2.76,68.12,50.16,1631.3,17.52,10.3,9.63,12.4,0.4,5.83,15.85,63.09,24.05
PI595699,SC,2014,2,75,77,1875,21,68.1,4.02,12.81,4094.8,2.3,36.43,43.96,1471.7,13.87,10.9,9.69,9.72,0.35,5.38,12.38,70.61,17.03
PI595702,SC,2014,2,62,98,1573,18.1,49.1,7.47,15.38,4155.1,3.13,49.3,45.05,1425.2,13.73,10.82,13.33,8.88,0.32,4.72,10.45,67.27,17.85
PI595714,SC,2014,2,79,75,1933,25.5,85.3,5.48,14.5,4087.5,2.5,34.37,43.3,1487.3,13.12,10.47,10.84,8.56,0.35,4.83,10.94,69.35,15.33
PI595718,SC,2014,2,62,77,597,25.3,26.1,5.87,11,4076,2.49,56.12,51.01,1445.7,16.44,11.18,6.85,10.62,0.35,5.31,12.61,68.5,24.76
PI595720,SC,2014,2,82,83,1910,30.6,100.9,5.26,12.05,4110.2,3,38.67,46.36,1495.5,13.56,10.19,10.21,8.49,0.34,4.39,10.65,70.16,17.08
PI595739,SC,2014,2,68,81,1561,23.3,63,5.95,10.77,4131.5,3.01,54.91,50.67,1633.9,16.76,11.04,5.88,11.44,0.38,5.67,13.97,66.42,24.36
PI595740,SC,2014,2,82,101,2092,23.7,85.7,6.23,15.28,4164.9,3.07,49.48,42.1,1544,14.26,10.78,11.08,9.8,0.35,5.28,11.86,67.02,18.45
PI595741,SC,2014,2,68,91,1149,17.8,35.4,4.34,11.35,4150.7,3.31,43.37,48.48,1487.2,14.96,10.34,9.62,9.94,0.35,4.76,12.28,70.12,19.63
PI595743,SC,2014,2,89,90,1015,29.3,51.4,7.33,13.26,4187.4,3.33,48.42,46.36,1635.2,15.65,10.85,9.29,10.94,0.37,5.48,13.21,67.42,21.82
PI595744,SC,2014,2,71,101,2011,17.7,61.6,5.07,9.86,4088.3,2.37,40.61,53.19,1503,14.56,10.23,10.01,9.16,0.33,4.21,11.38,70.5,19.09
PI595745,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597945,SC,2014,2,75,91,1546,25.2,67.4,4.67,10.86,4106.9,2.58,47.4,49.57,1582.2,15.35,10.61,8.45,10.58,0.36,5.03,12.88,67.54,20.87
PI597946,SC,2014,2,71,81,1885,14.8,48.3,6.06,14.58,4178.1,3.24,49.33,45.4,1534,15.25,10.71,9.92,10.67,0.37,5.39,13.34,67.63,20.38
PI597949,SC,2014,2,89,113,4325,19.3,144,4.42,10.36,4137.3,3.13,61.33,52.58,1492,16.71,9.95,9.61,11.51,0.35,5.34,14.18,67.66,23.5
PI597950,SC,2014,2,71,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597951,SC,2014,2,68,105,2383,20.7,85.4,5.54,14.33,4107,2.2,42.36,41.67,1322.4,13.28,10.77,12.71,9.44,0.33,5.48,12,69.63,15.93
PI597952,SC,2014,2,77,74,1685,22.4,65.2,6.29,14.37,4133.8,2.37,40.28,44.41,1489.5,14.32,10.89,10.6,10.64,0.35,5.62,13.32,70.78,18.46
PI597957,SC,2014,2,75,93,1947,19.4,65.1,4.01,12.09,4126.6,2.69,41.77,45.9,1470.2,14.84,10.68,9.97,10.44,0.35,5.46,12.95,70.2,19.1
PI597958,SC,2014,2,77,79,1493,17.4,44.9,4.43,14.87,4187.1,3.06,48.97,40.36,1808,16.12,11.08,8.44,11.72,0.41,6.62,14.56,66.67,21.02
PI597960,SC,2014,2,75,94,514,23,20.4,5.72,9.09,4126.9,2.38,52.5,54.04,1791.7,18.08,10.26,8.59,11.22,0.39,4.92,14.06,68.29,25.7
PI597961,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597964,SC,2014,2,89,109,932,31.6,50.9,6.27,14.21,4105.6,2.16,45.15,43.76,1455.7,14.27,10.76,11.12,10.22,0.36,5.27,12.87,66.67,18.1
PI597965,SC,2014,2,82,100,2023,17.2,60.3,6.02,15.82,4052.9,1.58,38.15,41.3,1509,13.81,11.23,9.67,9.45,0.37,5.69,12,68.59,17.39
PI597966,SC,2014,2,86,87,2693,27.4,127.3,5.99,14.23,4094,2.45,36.61,40.44,1381.4,12.35,10.87,12.04,8.03,0.33,4.77,10.02,70.21,14.2
PI597967,SC,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597968,SC,2014,2,71,101,2880,25.4,126.7,6.47,13.23,4171.6,2.76,41.03,42.71,1586.3,13.94,10.96,10.71,10.17,0.36,5.5,12.7,68.95,17.36
PI597971,SC,2014,2,71,100,1595,18.3,50.4,7.73,11.66,4181.8,2.96,60.17,48.53,1583.6,18.49,10.64,8.69,13.22,0.38,6.26,16.08,64.94,26.81
PI597972,SC,2014,2,75,89,561,21.8,21.1,6.45,8.31,4140.7,2.73,53.41,52.2,1613.8,16.2,10.13,10.39,10.77,0.37,5.01,13.12,66.84,22.69
PI597973,SC,2014,2,77,77,NA,NA,NA,6.54,14.88,4140.6,2.91,49.69,48.21,1531.9,16.4,10.53,8.77,11.24,0.36,5.49,13.56,67.19,23.1
PI597976,SC,2014,2,71,131,539,26.9,25.1,5.74,8.43,4154.8,3.15,61.51,49.3,1576.8,16.73,10.77,8.06,11.35,0.37,5.59,13.61,68.16,23.6
PI597980,SC,2014,2,77,80,2233,22.8,88,6.05,12.8,4134.1,3.1,44.43,49.5,1455.2,15.08,10.11,10.21,10.23,0.34,4.94,12.6,69.56,20.4
PI597982,SC,2014,2,62,127,1044,29.1,52.5,6.49,16.38,4119.9,2.38,44.12,45.77,1356.1,13.52,11.03,11.79,9.34,0.31,4.9,11.36,69.42,17.82
PI598069,SC,2014,2,84,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI598070,SC,2014,2,91,207,805,23,32,6.87,11.32,4179.2,3.35,51.03,46.11,1513.3,14.21,10.23,11.56,10.16,0.35,4.8,12.67,67.59,19.05
PI601816,SC,2014,2,96,173,2111,39.3,143.5,4.56,10.71,4076.1,2,40.75,42.81,1391.6,14.91,10.81,9.45,10.18,0.36,5.53,12.96,71.19,18.78
PI607931,SC,2014,2,93,103,2422,32.9,137.5,4.51,10.46,4060.1,2.54,42.65,50.17,1207.8,13.89,10.79,9.03,8.51,0.3,4.18,10.46,71.72,18.33
PI609456,SC,2014,2,NA,304,1144,15.2,30,6.06,8.68,4197.8,2.85,67.1,48.11,1797.2,17.52,10.34,8.73,13.16,0.43,5.95,16.69,66.17,24.16
PI613536,SC,2014,2,75,98,970,62.2,104.3,5.02,9.44,4122.4,2.62,38.31,44.26,1542.2,14.72,10.8,9.34,10.17,0.36,5.31,12.77,69.01,19.41
PI629034,SC,2014,2,79,99,929,21.6,34.7,5.03,14.89,4163.6,3.09,41.89,45.91,1614.3,14.7,10.62,10.36,10.64,0.35,5.2,12.96,70.02,19.12
PI629040,SC,2014,2,82,99,1100,23.7,45,4.97,6.92,4086.8,2.74,42.75,53.12,1467.1,16.45,10.55,7.8,9.37,0.35,4.63,11.53,70.09,23.52
PI629059,SC,2014,2,79,94,2044,31,109.3,5.09,11.48,4091.2,2.47,38.48,44.49,1419.7,13.73,10.67,10.33,9.07,0.34,4.78,11.62,70.54,17.07
PI641824,SC,2014,2,84,202,1867,17.5,56.3,6.92,15.46,4229.8,3.9,61.24,46.03,1749.7,13.96,10.24,11.17,10.43,0.39,4.92,12.84,65.88,19.86
PI641836,SC,2014,2,96,221,3222,20.9,116.7,7.96,12.94,4219.5,3.91,50.4,42.75,1613.1,13.99,10.23,12.6,9.45,0.36,4.96,11.45,66.37,18.52
PI641849,SC,2014,2,62,218,1277,23.6,52.2,8.28,12.68,4257.3,4.29,56.82,48.15,1778.8,16.69,10.44,10.87,11.5,0.39,5.27,13.82,64.38,23.57
PI641874,SC,2014,2,75,74,1625,22,61.7,6.06,9.94,4089.6,2.13,52.46,53.4,1510.4,17.14,10.97,7.65,11.34,0.36,5.32,13.76,66.09,25.31
PI642791,SC,2014,2,79,94,2199,29.5,112.1,5.54,15.68,4129.3,2.31,43.35,44.37,1451.7,13.87,10.7,12,10.17,0.34,5,12.76,68.28,17.19
PI642793,SC,2014,2,82,80,1543,27.1,72.2,4.28,15.71,4087.3,1.95,39.52,41.42,1473.5,13.51,11.18,9.93,9.93,0.35,5.71,12.46,71.52,16.37
PI642992,SC,2014,2,86,171,4176,31.5,227.5,5.86,14.41,4133.1,2.94,42.23,45.96,1447.5,14.08,10.66,9.45,9.41,0.34,4.76,11.54,70.56,18.06
PI642998,SC,2014,2,79,303,1846,21.4,68.2,9.4,6.62,4199.7,2.77,69.14,47.41,1679.5,16.01,10.3,15.32,11.4,0.39,5.43,13.65,57.79,22.99
PI651492,SC,2014,2,NA,302,2163,20.5,76.8,7.08,12.12,4113.4,3.02,49.23,44.54,1421.3,13.81,10.33,11.01,8.83,0.34,4.68,10.6,68.33,18.85
PI651496,SC,2014,2,98,NA,2852,22,108.6,8.17,9.26,4105.4,2.93,62.06,51.59,1573.1,17.27,10.94,8.07,10.55,0.39,5.45,12.79,64,26.2
PI653616,SC,2014,2,NA,267,1060,25.7,47.2,6.55,12.31,4154.8,2.92,48.19,40.97,1529.2,14.35,10.42,11.92,9.74,0.37,5.45,12.18,66.72,18.09
PI653617,SC,2014,2,71,234,1310,22.1,50.1,6.06,14.72,4235.8,4.01,51.22,42.28,1734.1,14.93,10.82,11.23,10.61,0.38,5.79,12.99,66.32,20.35
PI655970,SC,2014,2,84,165,1694,24.8,72.5,4.86,15.29,4161.2,2.79,44.58,44.48,1643.3,14.72,10.28,11.19,11,0.37,5.41,13.79,68.52,18.55
PI655971,SC,2014,2,62,83,1220,23.3,49.1,5.98,-0.66,4096.5,2.99,55.9,52.56,1785.9,20,11.18,5.63,9.59,0.41,5.17,12.04,67.51,30.09
PI655972,SC,2014,2,71,167,2034,21.1,74,4.36,9.85,4141.2,3.51,37.88,45.89,1462.1,14.97,10.75,8.79,9.53,0.34,5.24,11.69,71.37,20.34
PI655973,SC,2014,2,82,158,1641,35.2,99.7,6.4,9.76,4143.9,3.1,47.58,52.65,1565.1,15.42,10.23,9.8,10.25,0.37,4.64,12.91,67.27,21.58
PI655974,SC,2014,2,75,120,1681,23,66.7,3.95,14.61,4088.6,2.56,35.79,41.95,1587,14.12,11.39,6.91,9.2,0.37,5.6,11.54,71.82,17.86
PI655975,SC,2014,2,77,75,1352,28.5,66.6,4.08,12.7,4101.6,2.51,33.69,41.4,1481.6,13.22,11.14,9.37,9.11,0.35,5.39,11.37,72.08,15.7
PI655976,SC,2014,2,68,152,1422,19.8,48.8,5.99,8.64,4116.2,3,55.39,51.67,1422.6,15.63,10.87,8.57,9.96,0.34,4.77,12.11,68.6,23.04
PI655977,SC,2014,2,84,67,1627,33.9,95.3,5.35,13.56,4066,1.74,40.32,41.51,1344.7,13.98,11.12,10.23,9.73,0.34,5.6,12.36,70.97,17.3
PI655978,SC,2014,2,79,106,1158,29.1,58.2,5,9.04,4098.9,2.64,53.71,51.02,1514.7,15.35,10.55,8.69,9.71,0.34,4.75,11.75,69.03,21.74
PI655979,SC,2014,2,82,101,1640,29.6,84,4.57,12.04,4096.7,2.61,46.32,49.12,1359.4,15.21,10.89,7.7,9.84,0.32,4.91,11.76,71.07,20.06
PI655980,SC,2014,2,75,221,680,22.5,26.5,6.68,18.3,4155.9,2.75,49.66,42.4,1511.2,13.29,10.42,14.2,9.81,0.35,5.23,12.02,68.24,16.88
PI655981,SC,2014,2,64,223,1119,26.3,50.8,7.01,15.07,4160.2,3.27,49.42,45.9,1646.6,15.76,10.73,7.51,10.97,0.39,5.51,13.37,66.71,22.42
PI655982,SC,2014,2,71,79,1701,21,61.7,5.54,12.6,4125.3,2.72,42.93,48.41,1473.1,14.94,11.16,8.85,10.47,0.33,5.18,12.32,70.52,20.1
PI655983,SC,2014,2,86,260,2129,21.3,78.2,7.06,13.82,4162.2,2.92,47.7,42.03,1428.5,14.06,10.44,12.75,9.91,0.34,5.32,12.31,69.19,17.35
PI655984,SC,2014,2,75,NA,2246,26.4,102.3,6.3,14.38,4110.7,2.12,41.14,43.83,1443.6,13.8,10.55,11.83,10.33,0.35,5.45,13.14,70.48,16.78
PI655985,SC,2014,2,75,99,1407,24.2,58.8,4.84,11.95,4114.4,2.56,39.89,47.19,1362.8,14.37,10.83,9.94,10.09,0.32,4.96,12.42,70.64,18.98
PI655986,SC,2014,2,75,102,1843,23.7,75.6,5.11,12.48,4132.4,3.25,54.46,52.13,1572.4,16.12,10.99,6.9,10.8,0.37,5.24,13.16,66.98,24.36
