"Taxa","Amylose2013","Protein2013","Starch2013","Fat2013","Gross_Energy2013","Amylose2014","Protein2014","Starch2014","Fat2014","Gross_Energy2014","Amylose2017","Protein2017","Starch2017","Fat2017","Gross_Energy2017"
"PI655993",0.104070902403416,0.0532389551516349,0.441393620584215,0.00434257623090302,22.2198722772895,0.0591149148061322,0.0206455560110966,0.328535142397584,-0.000195696949365887,14.6218629944137,0.119889301414993,0.17412541876511,0.971804588603717,0.00794904840584243,57.3542773793333
"PI655994",-0.0124077053526076,-0.0113257283488091,-0.104267100432555,0.0119367375104132,-2.94222236522297,-0.0614459214532632,-0.0648058073429805,-0.364424564039209,-0.00587043777985363,-19.5734951937572,-0.0827064426064136,-0.0766925920315414,-0.460999664202357,-0.0135650181795978,-26.0194070346796
"PI655995",NA,NA,NA,NA,NA,-0.0717649677411268,-0.026578663728697,-0.416372670962831,-0.000231212989357271,-16.9287531229057,-0.0964336679257779,-0.0901143881687112,-0.642078221887153,-0.0173474370576874,-33.4614250113425
"PI655996",0.0925027157340878,-0.0111102733169079,0.369035970849274,0.00278935110866494,16.1488576716359,0.0597669319707889,0.0769253996577569,0.301674807930999,0.0111637171634716,18.691779943342,0.0876878976449928,0.0442941767984233,0.540972916341429,0.0204322141087342,28.9945002813685
"PI655997",-0.0337025384326869,0.00359865458111587,-0.0650648217514832,-0.00571853906115741,-4.92883836237572,-0.0079757430941158,0.0404010499000607,0.183935553680503,0.00291285950004949,8.68514011122653,-0.00514624969224541,0.00451270002278836,0.0903287625191072,0.00106798696955126,2.30405191260013
"PI655998",0.00524557363104443,-0.0167778358094914,-0.0336347095895435,-0.00619333491758746,-3.77133059979022,0.0194522335943382,-0.0194624789024646,0.11846380196101,-0.0101350714293275,2.21922932542005,-0.0811039419336035,-0.085046858367769,-0.307535391312265,-0.00486926884295481,-19.476585416791
"PI655999",-0.0577435973372484,-0.038434007467209,-0.37688817266681,-0.00742115179439374,-20.6259274402487,-0.0477678735673807,-0.0782791593509092,-0.409365699894518,-0.00608052418590436,-22.7631126394721,-0.0982349465420435,-0.093117991320676,-0.517610051797679,-0.0134951586223233,-30.4114119957221
"PI656000",-0.0322592875111007,-0.0442843750221374,-0.258041613072768,0.000965351834159817,-13.9300767473604,-0.0128420175425288,-0.00945501531665297,-0.0861694520085324,0.00278554352618208,-4.34321749226773,0.0476527780199463,0.0278893663893581,0.0989271210120554,0.00384990871817832,6.67283542969723
"PI656001",-0.0597361109147043,-0.0210343900174786,-0.0875063657150191,0.000289906954811176,-4.69923394704174,-0.0523975134935964,-0.0452936198028884,-0.104195069862996,-0.00847725491854327,-8.94351326048938,-0.0377241206016504,0.0099558413127183,0.109615375681636,0.00442593919335499,4.15047089700145
"PI656002",-0.0393968908426508,-0.0326477635371243,0.0575441994429818,0.00161911485938355,-1.17813886577954,0.0373213205917722,0.00370596499553365,0.182855294191665,0.00162344665832839,6.48705378608632,0.027559523050524,-0.00695390347332874,-0.0725778425206141,0.00200419641133446,-5.17624268094441
"PI656003",-0.0516232317560333,-0.0731106704058216,-0.34522987098207,-0.00050166446527423,-19.1198479603517,-0.0427629262000456,-0.102611196580185,-0.327797078454347,-0.00805798505661108,-19.693621164142,-0.0816496590213364,-0.114037606388747,-0.492112724958264,-0.0169557929783927,-30.7415472868463
"PI656004",NA,NA,NA,NA,NA,-0.0248741196590952,0.0110237364941024,-0.0684893165230998,-0.00272245250638002,-2.7528543145294,0.0481731437698371,0.0505764013577213,0.032238558217138,0.0163407905427878,5.86690030732888
"PI656005",-0.00944255223305457,-0.0230789303152344,-0.217439405441517,-0.00357056554658026,-11.9002670018416,-0.0171055736850763,-0.0550423512770752,-0.293500344689211,-0.00808808339558683,-17.1489650356963,0.0754591151574352,0.00434891066284411,-0.0356065388684004,0.00468148145265792,-0.318093770592406
"PI656006",0.0141449655535226,-0.0148991665059097,0.124715180595155,0.0108394151982613,4.85649359588889,0.114960025930397,0.0475354651731827,0.358597459633871,0.0081638157177587,18.6393893980377,0.0234771238140566,0.01752511616446,-0.138900020251061,-0.00153234604932479,-4.88701727852631
"PI656007",0.00022762219795468,-0.0372232387870503,-0.146064369362739,-0.00261766643224348,-9.56530612816046,-0.0010834445779648,-0.0222240410207143,-0.145303458429733,0.00633684654193072,-7.95950938585217,0.0532298793862169,-0.015788069922626,-0.115146564750884,-0.00111746076697004,-6.97556018507828
"PI656008",0.204076000321498,0.0557847143230911,0.547882118471286,0.00687751571825171,29.0154346060063,0.0617834143239221,0.0485241163314237,0.284561892288621,-0.00107577238101678,14.3111609911039,0.0284070988953349,-0.0380037537669095,0.499597779514943,-0.00647558147702257,17.3095317621366
"PI656009",-0.04763954460735,-0.0122885012932549,-0.0611766044538832,-0.00534774260671629,-5.98949896563462,0.00112768875310495,0.0260666598621179,-0.0124442502377853,-0.00694013274705176,1.32009376204335,NA,NA,NA,NA,NA
"PI656010",0.026249396988515,0.00458186090890205,0.22282971323756,0.00801893671675926,8.8699974085239,-0.0270874793902394,-0.00963837154209977,0.0568431920415087,0.00105549100185601,2.5079303667204,0.0692118734123814,-0.0504593587120464,-0.152108300271707,0.00867416394778298,-10.6089055849715
"PI656011",-0.0233323676418893,-0.031064777310114,-0.116746954854271,-0.00728587987205075,-8.55169283317085,-0.0635982142109371,-0.0405200474019631,-0.16246085534518,-0.00393059983286659,-9.90105594546366,-0.0164292897701171,-0.0415375232022507,-0.180467316785168,-0.00275835285650121,-12.5288340824504
