"Taxa","Year","Rep","r1","r2","r3","r4","r5","r6","Amylose","Fat","Cal.g","Starch","Protein"
"PI542718","2013","1",1,0,0,0,0,0,16,3.79,4159,67.9,10.71
"PI548797","2013","1",1,0,0,0,0,0,14.1,2.58,4097,71.8,11.16
"PI552856","2013","1",1,0,0,0,0,0,10.6,2.83,4173,66.6,14.18
"PI552861","2013","1",1,0,0,0,0,0,10.9,2.04,4017,74.5,10.24
"PI561071","2013","1",1,0,0,0,0,0,16.5,2.19,4017,72.9,9.46
"PI561072","2013","1",1,0,0,0,0,0,5,3.07,4122,67.2,11.84
"PI561073","2013","1",1,0,0,0,0,0,12.5,2.78,4106,66.9,11.79
"PI561472","2013","1",1,0,0,0,0,0,16.7,1.9,3994,70.7,8.07
"PI564163","2013","1",1,0,0,0,0,0,16.9,2.89,4105,69.7,10.57
"PI564164","2013","1",1,0,0,0,0,0,14.1,2.62,4125,68,13.46
"PI564165","2013","1",1,0,0,0,0,0,16.2,2.43,4088,69.8,12.38
"PI565121","2013","1",1,0,0,0,0,0,13.3,2.56,4060,71.3,9.64
"PI566819","2013","1",1,0,0,0,0,0,17.4,2.94,4131,67.6,11.08
"PI576130","2013","1",1,0,0,0,0,0,12.9,2.29,3992,74.9,8.02
"PI576332","2013","1",1,0,0,0,0,0,17.8,2.66,4152,66.8,12.76
"PI576333","2013","1",1,0,0,0,0,0,12,3,4125,70.5,11.99
"PI576339","2013","1",1,0,0,0,0,0,14.4,2.62,4084,72.1,11.85
"PI576340","2013","1",1,0,0,0,0,0,12.7,2.27,4049,74.3,9.86
"PI576345","2013","1",1,0,0,0,0,0,17.7,1.73,4068,65.7,12.07
"PI576347","2013","1",1,0,0,0,0,0,16.2,3.43,4133,66.5,11.88
"PI576348","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI576349","2013","1",1,0,0,0,0,0,18.3,4.03,4262,62.6,15.06
"PI576350","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI576352","2013","1",1,0,0,0,0,0,19.3,2.93,4133,68.9,12.88
"PI576359","2013","1",1,0,0,0,0,0,16,3.81,4161,67.6,12.79
"PI576364","2013","1",1,0,0,0,0,0,17.6,3.11,4155,66.7,11.19
"PI576366","2013","1",1,0,0,0,0,0,17.4,2.92,4157,68.2,12.59
"PI576373","2013","1",1,0,0,0,0,0,18,2.72,4116,68.6,13.18
"PI576375","2013","1",1,0,0,0,0,0,15.2,2.49,4112,68.6,13.25
"PI576376","2013","1",1,0,0,0,0,0,14.1,2.88,4143,65.4,13.67
